,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
0,Monster,Kanye West,2011,125,69,63,-6,67,10,379,0,20,73,chicago rap
1,Love Yourself,Justin Bieber,2015,100,38,61,-10,28,52,234,84,44,83,canadian pop
2,Firework,Katy Perry,2011,124,83,64,-5,11,65,228,14,5,25,dance pop
3,What Do You Mean?,Justin Bieber,2015,125,57,85,-8,8,79,206,59,10,79,canadian pop
4,Cruel (feat. ZAYN),Snakehips,2016,110,88,60,-4,16,32,228,2,12,63,dance pop
5,Love On Top,Beyoncé,2011,94,75,65,-5,60,65,267,8,9,76,dance pop
6,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,91,95,64,-4,18,57,220,6,7,52,dance pop
7,American Oxygen,Rihanna,2015,78,75,39,-6,33,48,320,5,9,61,barbadian pop
8,Supplies,Justin Timberlake,2018,120,55,79,-7,13,23,226,1,5,57,dance pop
9,Do You Wanna Come Over?,Britney Spears,2016,121,70,75,-6,11,45,203,1,7,34,dance pop
10,Anything Could Happen,Ellie Goulding,2013,103,78,70,-4,14,38,286,43,3,52,dance pop
11,Sugar,Maroon 5,2015,120,79,75,-7,9,88,235,6,3,66,pop
12,Kissing Strangers,DNCE,2017,120,74,77,-6,9,86,202,5,4,66,dance pop
13,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2018,103,71,66,-4,8,74,175,3,5,82,dance pop
14,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019,114,79,60,-6,42,24,217,1,7,69,dance pop
15,Blow Me (One Last Kiss),P!nk,2012,114,92,60,-3,25,75,256,0,4,0,dance pop
16,Shallow - Radio Edit,Lady Gaga,2018,96,33,57,-7,9,28,217,42,3,80,dance pop
17,Lust for Life (with The Weeknd),Lana Del Rey,2017,100,67,51,-9,36,27,264,58,6,54,art pop
18,How Deep Is Your Love,Calvin Harris,2015,122,87,74,-4,39,34,213,4,7,77,dance pop
19,You Lost Me,Christina Aguilera,2010,43,39,23,-6,14,7,257,85,4,56,dance pop
20,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,2015,127,85,68,-3,6,93,193,1,6,50,dance pop
21,Love Runs Out,OneRepublic,2014,120,93,72,-4,8,74,225,17,6,66,dance pop
22,Someone Like You,Adele,2011,135,33,56,-8,10,28,285,89,3,80,british soul
23,Waves - Robin Schulz Radio Edit,Mr. Probz,2015,120,51,83,-9,8,45,208,1,4,77,tropical house
24,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017,81,67,61,-4,17,81,289,6,4,77,dance pop
25,Beautiful Birds (feat. Birdy),Passenger,2016,86,17,39,-13,11,14,214,91,3,36,folk-pop
26,Pompeii,Bastille,2014,127,72,68,-6,27,57,214,8,4,73,metropopolis
27,It's On Again - Main Soundtrack,Alicia Keys,2014,110,54,64,-9,25,53,230,10,11,30,hip pop
28,Story of My Life,One Direction,2013,121,66,60,-6,12,29,245,23,5,81,boy band
29,People Like Us,Kelly Clarkson,2013,128,79,60,-5,36,61,259,4,4,45,dance pop
30,Hands To Myself,Selena Gomez,2016,111,50,81,-7,34,47,201,1,12,71,dance pop
31,There for You,Martin Garrix,2017,106,64,61,-8,12,13,222,12,6,76,big room
32,Blow Me (One Last Kiss),P!nk,2012,114,92,60,-3,25,75,256,0,4,0,dance pop
33,Work,Rihanna,2016,92,53,73,-6,9,56,219,8,9,78,barbadian pop
34,Sweet Nothing (feat. Florence Welch),Calvin Harris,2013,128,93,57,-4,6,58,213,20,11,72,dance pop
35,We Are Never Ever Getting Back Together,Taylor Swift,2013,86,68,63,-6,12,75,193,1,9,75,pop
36,The Hills,The Weeknd,2015,113,56,58,-7,14,14,242,7,5,84,canadian contemporary r&b
37,The Heart Wants What It Wants,Selena Gomez,2015,83,79,62,-5,14,62,227,5,4,72,dance pop
38,Marry You,Bruno Mars,2010,145,83,62,-5,10,48,230,33,4,73,pop
39,The Feeling,Justin Bieber,2015,127,81,53,-6,10,21,245,8,6,67,canadian pop
40,Start,John Legend,2016,110,4,52,-15,9,26,310,99,4,47,neo mellow
41,Animal,Neon Trees,2010,148,83,48,-6,38,74,212,0,4,65,indie pop
42,Touch (feat. Kid Ink),Little Mix,2017,102,75,64,-4,49,53,203,4,11,59,dance pop
43,Rock That Body,The Black Eyed Peas,2010,125,91,72,-6,43,84,269,2,10,59,dance pop
44,Silence,Marshmello,2018,142,76,52,-3,17,29,181,26,9,82,brostep
45,Break Your Heart,Taio Cruz,2010,122,90,67,-5,8,63,186,0,3,33,dance pop
46,Come Get It Bae,Pharrell Williams,2014,120,80,93,-6,10,90,202,27,8,59,dance pop
47,Underneath the Tree,Kelly Clarkson,2013,160,81,51,-5,21,69,230,0,5,88,dance pop
48,Anything Could Happen,Ellie Goulding,2013,103,78,70,-4,14,38,286,43,3,52,dance pop
49,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,2017,115,83,70,-6,36,63,245,28,27,54,dance pop
50,Love Runs Out,OneRepublic,2014,120,93,72,-4,8,74,225,17,6,66,dance pop
51,Wait,Maroon 5,2018,126,60,66,-5,11,45,191,10,6,67,pop
52,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2018,103,71,66,-4,8,74,175,3,5,82,dance pop
53,Strip That Down (feat. Quavo),Liam Payne,2017,106,50,87,-5,8,55,202,20,5,69,dance pop
54,Shape of You,Ed Sheeran,2017,96,65,83,-3,9,93,234,58,8,87,pop
55,Judas,Lady Gaga,2011,131,93,66,-4,27,53,249,0,7,63,dance pop
56,I Luh Ya Papi,Jennifer Lopez,2014,96,73,74,-6,12,59,207,45,42,28,dance pop
57,Hurts,Emeli Sandé,2016,106,64,58,-8,15,18,238,2,3,57,dance pop
58,Rich Love (with Seeb),OneRepublic,2017,105,87,40,-4,36,47,201,17,31,70,dance pop
59,Rather Be (feat. Jess Glynne),Clean Bandit,2015,121,59,80,-7,19,55,228,16,4,73,dance pop
60,Reggaetón Lento (Remix),CNCO,2017,94,91,53,-3,10,62,189,15,9,71,boy band
61,Friends (with BloodPop®),Justin Bieber,2018,105,73,74,-5,30,62,189,0,4,77,canadian pop
62,Blame,Calvin Harris,2015,128,86,41,-4,34,35,213,3,8,76,dance pop
63,Boom Boom,RedOne,2018,110,76,75,-8,20,58,248,0,5,53,moroccan pop
64,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019,96,89,67,-3,74,48,159,30,6,90,escape room
65,Like A G6,Far East Movement,2010,125,84,44,-8,12,78,217,1,45,72,dance pop
66,Stitches,Shawn Mendes,2015,150,75,75,-7,5,76,207,2,7,78,canadian pop
67,Overdose,Ciara,2013,107,70,77,-6,6,79,227,1,3,43,dance pop
68,Mmm Yeah (feat. Pitbull),Austin Mahone,2014,126,92,71,-4,27,98,232,0,4,65,dance pop
69,Do You Wanna Come Over?,Britney Spears,2016,121,70,75,-6,11,45,203,1,7,34,dance pop
70,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,95,30,59,-7,12,36,260,78,3,78,pop
71,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,118,45,74,-8,33,9,245,6,6,78,dance pop
72,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,95,79,75,-6,7,61,206,21,12,75,pop
73,I'll Show You,Justin Bieber,2015,192,61,36,-7,18,8,200,5,10,68,canadian pop
74,Next To Me,Emeli Sandé,2013,95,80,67,-5,11,35,197,9,4,60,dance pop
75,Dangerous,Jennifer Hudson,2015,109,53,90,-5,8,65,255,0,5,18,dance pop
76,We R Who We R,Kesha,2011,120,82,74,-5,12,65,205,1,4,72,dance pop
77,A Thousand Years,Christina Perri,2011,139,41,42,-7,11,16,285,31,3,81,dance pop
78,Love Somebody,Maroon 5,2013,120,78,68,-6,12,40,230,13,4,65,pop
79,Supernova,Ansel Elgort,2018,140,62,77,-5,21,68,191,6,10,72,dance pop
80,Lay It All on Me,Rudimental,2015,123,75,67,-7,19,48,242,14,4,62,dance pop
81,Wherever I Go,OneRepublic,2016,100,69,55,-6,27,35,170,9,4,66,dance pop
82,human,Christina Perri,2014,144,49,44,-6,11,25,251,13,4,68,dance pop
83,Pep Rally,Missy Elliott,2016,90,75,83,-4,20,32,263,22,12,47,dance pop
84,"Me, Myself & I",G-Eazy,2016,112,67,76,-7,16,38,251,2,10,78,hip hop
85,Rise,Katy Perry,2016,101,64,55,-6,11,44,203,5,5,66,dance pop
86,Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,95,55,78,-7,13,44,243,35,5,81,dance pop
87,Lay It All on Me,Rudimental,2015,123,75,67,-7,19,48,242,14,4,62,dance pop
88,Final Song,MØ,2016,105,67,70,-6,8,25,236,1,3,72,dance pop
89,Bad Liar,Selena Gomez,2018,121,41,97,-6,8,73,215,19,7,75,dance pop
90,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2013,95,53,78,-7,5,66,236,6,29,69,dance pop
91,Yesterday (feat. Bebe Rexha),David Guetta,2015,128,78,57,-4,33,28,243,2,3,46,dance pop
92,The Hills,The Weeknd,2015,113,56,58,-7,14,14,242,7,5,84,canadian contemporary r&b
93,Higher,Carly Rae Jepsen,2016,114,87,65,-5,37,44,234,1,6,46,canadian pop
94,I Wanna Go,Britney Spears,2011,130,55,70,-7,33,79,210,0,4,64,dance pop
95,Dynamite,Taio Cruz,2010,120,78,75,-4,4,82,203,0,9,77,dance pop
96,American Oxygen,Rihanna,2015,78,75,39,-6,33,48,320,5,9,61,barbadian pop
97,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,120,86,66,-3,8,65,221,3,11,52,atl hip hop
98,"Hey, Soul Sister",Train,2010,97,89,67,-4,8,80,217,19,4,83,neo mellow
99,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,2017,135,57,76,-9,20,14,261,2,13,67,art pop
100,Marry The Night,Lady Gaga,2011,131,88,61,-4,46,38,265,0,6,61,dance pop
101,Paris,The Chainsmokers,2017,100,64,65,-7,9,25,222,2,3,76,electropop
102,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,94,69,73,-4,10,42,221,2,5,64,dance pop
103,That's What I Like,Bruno Mars,2017,134,56,85,-5,9,86,207,1,4,83,pop
104,Rude,MAGIC!,2014,144,76,77,-5,31,93,225,4,4,79,pop
105,See You Again (feat. Charlie Puth),Wiz Khalifa,2015,80,48,69,-8,6,28,230,37,8,56,hip hop
106,"Hold On, We're Going Home",Drake,2013,100,41,77,-7,7,29,228,0,10,73,canadian hip hop
107,Words as Weapons,Birdy,2014,120,35,53,-9,14,19,239,28,3,44,neo mellow
108,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,2013,130,87,72,-3,66,68,209,4,4,67,dance pop
109,Higher,Carly Rae Jepsen,2016,114,87,65,-5,37,44,234,1,6,46,canadian pop
